メニュー,動画URL,video_id,投稿者,時間,食材,味,油感,特徴,詳細食材タグ,ingredient_categories
チキン南蛮,https://www.youtube.com/watch?v=gx2kJ5M3gJk,gx2kJ5M3gJk,Koh Kentetsu Kitchen【料理研究家コウケンテツ公式チャンネル】,normal,鶏肉、卵、玉ねぎ,rich,2,実在YouTube動画,"chicken,egg,onion",鶏肉;卵;根菜
油淋鶏,https://www.youtube.com/watch?v=Ur2tYVZppBU,Ur2tYVZppBU,料理研究家リュウジのバズレシピ,normal,鶏肉、ネギ、ショウガ,rich,2,実在YouTube動画,"chicken,green_onion,ginger",鶏肉;葉物野菜
ロールキャベツ,https://www.youtube.com/watch?v=wFlV3bpZL0E,wFlV3bpZL0E,クキパパレシピ研究所,slow,挽肉、キャベツ、玉ねぎ、にんじん,semi-rich,2,実在YouTube動画,"minced_meat,cabbage,onion,carrot",肉類;葉物野菜;根菜
ビーフシチュー,https://www.youtube.com/watch?v=F1Uu6W4KJhs,F1Uu6W4KJhs,oka's life,slow,牛肉、玉ねぎ、にんじん、じゃが芋,rich,2,実在YouTube動画,"beef,onion,carrot,potato",肉類;根菜
クリームシチュー,https://www.youtube.com/watch?v=CtBPAxiNvMo,CtBPAxiNvMo,デリッシュキッチン,normal,鶏肉、じゃが芋、玉ねぎ、にんじん、ブロッコリー、牛乳、バター,semi-rich,2,実在YouTube動画,"chicken,potato,onion,carrot,broccoli,milk,butter",鶏肉;根菜;葉物野菜;チーズ・バター・マヨ系
ローストビーフ,https://www.youtube.com/watch?v=7hbXA4hubcQ,7hbXA4hubcQ,Koh Kentetsu Kitchen【料理研究家コウケンテツ公式チャンネル】,slow,牛肉、玉ねぎ、にんにく,semi-rich,2,実在YouTube動画,"beef,onion,garlic",肉類;根菜
鶏むね肉のレンジ蒸し,https://www.youtube.com/watch?v=1IS9YTnswfs,1IS9YTnswfs,macaroni | マカロニ,normal,鶏肉,semi-rich,4,実在YouTube動画,chicken,鶏肉
手羽元のさっぱり煮,https://www.youtube.com/watch?v=pm3Kt-W3aak,pm3Kt-W3aak,白ごはん.comチャンネル,normal,鶏肉、卵、ブロッコリー、にんにく、ショウガ,semi-rich,2,実在YouTube動画,"chicken,egg,broccoli,garlic,ginger",鶏肉;卵;葉物野菜
鮭のムニエル,https://www.youtube.com/watch?v=g_wX2txXi64,g_wX2txXi64,べるっぱの美味しいキッチン,normal,サケ、バター,light,2,実在YouTube動画,"salmon,butter",魚介;チーズ・バター・マヨ系
鮭のホイル焼き,https://www.youtube.com/watch?v=5ADKVErjIB4,5ADKVErjIB4,料理研究家リュウジのバズレシピ,normal,サケ、玉ねぎ、しめじ、バター,light,2,実在YouTube動画,"salmon,onion,shimeji,butter",魚介;根菜;きのこ;チーズ・バター・マヨ系
ぶりの照り焼き,https://www.youtube.com/watch?v=jt20T6SHBKg,jt20T6SHBKg,きなキチ,normal,ブリ、ショウガ,semi-rich,2,実在YouTube動画,"yellowtail,ginger",魚介
さばの味噌煮,https://www.youtube.com/watch?v=kFVlSD_WzNk,kFVlSD_WzNk,macaroni | マカロニ,normal,サバ、ショウガ,semi-rich,2,実在YouTube動画,"mackerel,ginger",魚介
あじの南蛮漬け,https://www.youtube.com/watch?v=zTrUr7vJSow,zTrUr7vJSow,デリッシュキッチン,normal,アジ、玉ねぎ、にんじん、ピーマン,semi-light,2,実在YouTube動画,"aji,onion,carrot,bell_pepper",魚介;根菜;葉物野菜
魚の煮付け,https://www.youtube.com/watch?v=oMDOSKTmp9Y,oMDOSKTmp9Y,フリーランス料理人の簡単レシピ,normal,白身魚、ショウガ,semi-light,2,実在YouTube動画,"whitefish,ginger",魚介
エビチリ,https://www.youtube.com/watch?v=1F62kDfG49A,1F62kDfG49A,Party Kitchen - パーティーキッチン,normal,えび、ネギ、にんにく、ショウガ,semi-rich,2,実在YouTube動画,"shrimp,green_onion,garlic,ginger",魚介;葉物野菜
アクアパッツァ,https://www.youtube.com/watch?v=mJBSYhlG61Q,mJBSYhlG61Q,LIBERO KITCHEN,normal,白身魚、貝、トマト、にんにく,semi-rich,2,実在YouTube動画,"whitefish,shellfish,tomato,garlic",魚介;葉物野菜
ツナアボカド丼,https://www.youtube.com/watch?v=prMsN6Ds3WI,prMsN6Ds3WI,きちんとキッチンbydaiei,easy,ツナ、ご飯・米、アボカド,rich,4,実在YouTube動画,"canned_tuna,rice,avocado",魚介;米
まぐろ漬け丼,https://www.youtube.com/watch?v=YqsDCIaLD_k,YqsDCIaLD_k,白ごはん.comチャンネル,easy,マグロ、ご飯・米,rich,4,実在YouTube動画,"tuna_sashimi,rice",魚介;米
ラタトゥイユ,https://www.youtube.com/watch?v=JyAeHqmvenk,JyAeHqmvenk,Kurashiru [クラシル],normal,ベーコン、トマト、なす、ピーマン、玉ねぎ,semi-rich,2,実在YouTube動画,"bacon,tomato,eggplant,bell_pepper,onion",肉類;葉物野菜;根菜
ミネストローネ,https://www.youtube.com/watch?v=r59tvmhXnT0,r59tvmhXnT0,料理研究家リュウジのバズレシピ,normal,ベーコン、キャベツ、じゃが芋、トマト、玉ねぎ、にんじん,semi-rich,2,実在YouTube動画,"bacon,cabbage,potato,tomato,onion,carrot",肉類;葉物野菜;根菜
ポトフ,https://www.youtube.com/watch?v=lUW1g9O_iig,lUW1g9O_iig,料理研究家ゆかりのおうちで簡単レシピ / Yukari's Kitchen,normal,ベーコン、キャベツ、じゃが芋、玉ねぎ、にんじん,semi-light,2,実在YouTube動画,"bacon,cabbage,potato,onion,carrot",肉類;葉物野菜;根菜
ピーマンの肉詰め,https://www.youtube.com/watch?v=pploHExlDRo,pploHExlDRo,料理研究家リュウジのバズレシピ,normal,挽肉、玉ねぎ、ピーマン,semi-rich,4,実在YouTube動画,"minced_meat,onion,bell_pepper",肉類;根菜;葉物野菜
なすの味噌炒め,https://www.youtube.com/watch?v=gKYstQlV8bQ,gKYstQlV8bQ,macaroni | マカロニ,normal,なす、ネギ、ショウガ,semi-rich,4,実在YouTube動画,"eggplant,green_onion,ginger",葉物野菜
かぼちゃの煮物,https://www.youtube.com/watch?v=h4FM5kiA4AQ,h4FM5kiA4AQ,料理研究家ゆかりのおうちで簡単レシピ / Yukari's Kitchen,normal,かぼちゃ,light,1,実在YouTube動画,pumpkin,根菜
きんぴらごぼう,https://www.youtube.com/watch?v=HwGslCAQZZY,HwGslCAQZZY,料理研究家リュウジのバズレシピ,normal,ごぼう、にんじん,semi-rich,2,実在YouTube動画,"burdock,carrot",根菜
ほうれん草のごま和え,https://www.youtube.com/watch?v=Fu0v4DT4z5w,Fu0v4DT4z5w,Koh Kentetsu Kitchen【料理研究家コウケンテツ公式チャンネル】,easy,ほうれん草,light,2,実在YouTube動画,spinach,葉物野菜
もやしナムル,https://www.youtube.com/watch?v=SxCdY2T7KCc,SxCdY2T7KCc,料理研究家リュウジのバズレシピ,easy,もやし,light,2,実在YouTube動画,bean_sprouts,葉物野菜
ポテトサラダ,https://www.youtube.com/watch?v=wmkYKk5qzgo,wmkYKk5qzgo,Koh Kentetsu Kitchen【料理研究家コウケンテツ公式チャンネル】,easy,ハム、卵、きゅうり、じゃが芋、玉ねぎ、マヨネーズ,light,1,実在YouTube動画,"ham,egg,cucumber,potato,onion,mayonnaise",肉類;卵;葉物野菜;根菜;チーズ・バター・マヨ系
コールスロー,https://www.youtube.com/watch?v=kvqP5jKA-yI,kvqP5jKA-yI,カズレシピ Kazu Recipe,normal,キャベツ、にんじん、マヨネーズ,semi-rich,2,実在YouTube動画,"cabbage,carrot,mayonnaise",葉物野菜;根菜;チーズ・バター・マヨ系
無限キャベツ,https://www.youtube.com/watch?v=QKpGavxCAKE,QKpGavxCAKE,【賛否両論】笠原将弘の料理のほそ道,normal,キャベツ、ツナ,semi-rich,2,実在YouTube動画,"cabbage,canned_tuna",葉物野菜;魚介
筑前煮,https://www.youtube.com/watch?v=cW3SmIl9Ey0,cW3SmIl9Ey0,料理研究家リュウジのバズレシピ,slow,鶏肉、ごぼう、にんじん、レンコン、こんにゃく、しいたけ,semi-rich,2,実在YouTube動画,"chicken,burdock,carrot,lotus_root,konnyaku,shiitake",鶏肉;根菜;きのこ
揚げ出し豆腐,https://www.youtube.com/watch?v=tvVOBHWytPQ,tvVOBHWytPQ,料理研究家ゆかりのおうちで簡単レシピ / Yukari's Kitchen,normal,豆腐、ネギ、ショウガ,rich,5,実在YouTube動画,"tofu,green_onion,ginger",豆腐・大豆系;葉物野菜
豆腐ハンバーグ,https://www.youtube.com/watch?v=7dYj21hBmoU,7dYj21hBmoU,料理研究家リュウジのバズレシピ,normal,挽肉、卵、豆腐、玉ねぎ,semi-rich,2,実在YouTube動画,"minced_meat,egg,tofu,onion",肉類;卵;豆腐・大豆系;根菜
ゴーヤチャンプルー,https://www.youtube.com/watch?v=aF12Cncv5UE,aF12Cncv5UE,料理研究家リュウジのバズレシピ,normal,豚肉、卵、豆腐、ゴーヤ,semi-rich,2,実在YouTube動画,"pork,egg,tofu,bitter_melon",肉類;卵;豆腐・大豆系;葉物野菜
だし巻き卵,https://www.youtube.com/watch?v=mr16IjNO0zM,mr16IjNO0zM,料理研究家リュウジのバズレシピ,normal,卵,semi-rich,2,実在YouTube動画,egg,卵
茶碗蒸し,https://www.youtube.com/watch?v=vK9JeiI1Asc,vK9JeiI1Asc,【賛否両論】笠原将弘の料理のほそ道,normal,鶏肉、えび、卵、しいたけ,light,2,実在YouTube動画,"chicken,shrimp,egg,shiitake",鶏肉;魚介;卵;きのこ
卵サンド,https://www.youtube.com/watch?v=RelaC9GBwMs,RelaC9GBwMs,料理研究家ゆかりのおうちで簡単レシピ / Yukari's Kitchen,easy,卵、パン、マヨネーズ,semi-rich,2,実在YouTube動画,"egg,bread,mayonnaise",卵;チーズ・バター・マヨ系
ナポリタン,https://www.youtube.com/watch?v=uCbg_uS9aEU,uCbg_uS9aEU,料理研究家リュウジのバズレシピ,normal,パスタ、玉ねぎ、ピーマン、ハム、バター,semi-rich,2,実在YouTube動画,"pasta,onion,bell_pepper,ham,butter",麺;根菜;葉物野菜;肉類;チーズ・バター・マヨ系
ペペロンチーノ,https://www.youtube.com/watch?v=Jx-tqntWPCM,Jx-tqntWPCM,料理研究家リュウジのバズレシピ,normal,パスタ、にんにく,semi-rich,2,実在YouTube動画,"pasta,garlic",麺
ミートソースパスタ,https://www.youtube.com/watch?v=vSCrdLAwyRo,vSCrdLAwyRo,料理研究家ゆかりのおうちで簡単レシピ / Yukari's Kitchen,normal,挽肉、パスタ、玉ねぎ、トマト、チーズ,semi-rich,2,実在YouTube動画,"minced_meat,pasta,onion,tomato,cheese",肉類;麺;根菜;葉物野菜;チーズ・バター・マヨ系
ボンゴレ,https://www.youtube.com/watch?v=brToe7XZ6S8,brToe7XZ6S8,料理研究家リュウジのバズレシピ,normal,貝、パスタ、にんにく、バター,semi-rich,2,実在YouTube動画,"shellfish,pasta,garlic,butter",魚介;麺;チーズ・バター・マヨ系
焼きうどん,https://www.youtube.com/watch?v=2tPBw9MZPMw,2tPBw9MZPMw,料理研究家リュウジのバズレシピ,easy,豚肉、うどん、キャベツ、ネギ,semi-rich,2,実在YouTube動画,"pork,udon,cabbage,green_onion",肉類;麺;葉物野菜
きつねうどん,https://www.youtube.com/watch?v=51_Iiwr3PgE,51_Iiwr3PgE,料理研究家リュウジのバズレシピ,easy,油揚げ、うどん、ネギ,semi-rich,2,実在YouTube動画,"aburaage,udon,green_onion",豆腐・大豆系;麺;葉物野菜
カレーうどん,https://www.youtube.com/watch?v=xKlpiPPvJVY,xKlpiPPvJVY,料理研究家リュウジのバズレシピ,easy,豚肉、うどん、玉ねぎ、ネギ、カレールゥ,rich,4,実在YouTube動画,"pork,udon,onion,green_onion,curry_roux",肉類;麺;根菜;葉物野菜
ざるそば,https://www.youtube.com/watch?v=spqdBQc4Ves,spqdBQc4Ves,「一品料理」マサちゃんねる,easy,そば、ネギ,light,1,実在YouTube動画,"soba,green_onion",麺;葉物野菜
担々麺,https://www.youtube.com/watch?v=d-zD-4tj-60,d-zD-4tj-60,料理研究家リュウジのバズレシピ,normal,挽肉、中華麺、ネギ,rich,4,実在YouTube動画,"minced_meat,noodles,green_onion",肉類;麺;葉物野菜
冷やし中華,https://www.youtube.com/watch?v=_Q4asB4_S4U,_Q4asB4_S4U,料理人設楽の料理道場,normal,鶏肉、卵、中華麺、きゅうり、ハム、トマト,semi-rich,2,実在YouTube動画,"chicken,egg,noodles,cucumber,ham,tomato",鶏肉;卵;麺;葉物野菜;肉類
そうめんチャンプルー,https://www.youtube.com/watch?v=2Q5GzS4OqCA,2Q5GzS4OqCA,居酒屋店長のまかない飯チャンネル,easy,ツナ、そうめん、にら、卵,semi-rich,2,実在YouTube動画,"canned_tuna,somen,nira,egg",魚介;麺;葉物野菜;卵
フォー,https://www.youtube.com/watch?v=evskSjaeBNs,evskSjaeBNs,エダジュンのアジアごはん。,normal,鶏肉、ビーフン・フォー、もやし,semi-rich,2,実在YouTube動画,"chicken,rice_noodles,bean_sprouts",鶏肉;麺;葉物野菜
豚汁,https://www.youtube.com/watch?v=OL8o03u8l2Y,OL8o03u8l2Y,料理研究家リュウジのバズレシピ,normal,豚肉、にんじん、大根、ネギ、ごぼう、豆腐,semi-light,2,実在YouTube動画,"pork,carrot,daikon,green_onion,burdock,tofu",肉類;根菜;葉物野菜;豆腐・大豆系
コーンスープ,https://www.youtube.com/watch?v=dUbtgM2MSAY,dUbtgM2MSAY,わんたのお家ごはん,easy,コーン缶、玉ねぎ、小麦粉、牛乳、バター,semi-light,1,実在YouTube動画,"corn,onion,flour,milk,butter",根菜;チーズ・バター・マヨ系
クラムチャウダー,https://www.youtube.com/watch?v=QVmfVJzytRA,QVmfVJzytRA,料理研究家ゆかりのおうちで簡単レシピ / Yukari's Kitchen,normal,貝、ベーコン、じゃが芋、玉ねぎ、にんじん、牛乳、バター,semi-rich,2,実在YouTube動画,"shellfish,bacon,potato,onion,carrot,milk,butter",魚介;肉類;根菜;チーズ・バター・マヨ系
わかめスープ,https://www.youtube.com/watch?v=aHmeHVt0fHM,aHmeHVt0fHM,料理研究家リュウジのバズレシピ,easy,わかめ、ネギ,light,1,実在YouTube動画,"wakame,green_onion",葉物野菜
オニオンスープ,https://www.youtube.com/watch?v=u1kZmMeRC7U,u1kZmMeRC7U,まいにち3品レシピ,easy,玉ねぎ、バター,semi-light,1,実在YouTube動画,"onion,butter",根菜;チーズ・バター・マヨ系
グラタン,https://www.youtube.com/watch?v=QkHriA-XRFo,QkHriA-XRFo,フリーランス料理人の簡単レシピ,slow,鶏肉、玉ねぎ、チーズ、バター、牛乳、小麦粉,rich,4,実在YouTube動画,"chicken,onion,cheese,butter,milk,flour",鶏肉;根菜;チーズ・バター・マヨ系
コロッケ,https://www.youtube.com/watch?v=qvNNjQhB774,qvNNjQhB774,料理研究家リュウジのバズレシピ,slow,挽肉、卵、じゃが芋、玉ねぎ,rich,5,実在YouTube動画,"minced_meat,egg,potato,onion",肉類;卵;根菜
天ぷら,https://www.youtube.com/watch?v=DaOafeyQkjc,DaOafeyQkjc,料理人設楽の料理道場,slow,えび、なす、かぼちゃ、卵、小麦粉,semi-rich,5,実在YouTube動画,"shrimp,eggplant,pumpkin,egg,flour",魚介;葉物野菜;根菜;卵
お好み焼き,https://www.youtube.com/watch?v=CgB8DVwEsDY,CgB8DVwEsDY,料理研究家リュウジのバズレシピ,normal,豚肉、卵、キャベツ、小麦粉,rich,2,実在YouTube動画,"pork,egg,cabbage,flour",肉類;卵;葉物野菜
たこ焼き,https://www.youtube.com/watch?v=o_nmCZU3t3k,o_nmCZU3t3k,たこのすけ Takoyaki Channel,slow,たこ、卵、ネギ、ショウガ、小麦粉,rich,2,実在YouTube動画,"octopus,egg,green_onion,ginger,flour",魚介;卵;葉物野菜
フレンチトースト,https://www.youtube.com/watch?v=MA8mWyyapbQ,MA8mWyyapbQ,Koh Kentetsu Kitchen【料理研究家コウケンテツ公式チャンネル】,normal,パン、卵、牛乳、バター,semi-rich,2,実在YouTube動画,"bread,egg,milk,butter",卵;チーズ・バター・マヨ系
ホットサンド,https://www.youtube.com/watch?v=t1v_P7CWzz8,t1v_P7CWzz8,飲食店独立学校 /こうせい校長,normal,パン、ハム、卵、チーズ、バター,semi-rich,2,実在YouTube動画,"bread,ham,egg,cheese,butter",肉類;卵;チーズ・バター・マヨ系
カプレーゼ,https://www.youtube.com/watch?v=zwD02hnuppU,zwD02hnuppU,やまでら くみこ のレシピ,easy,トマト、チーズ,light,2,実在YouTube動画,"tomato,cheese",葉物野菜;チーズ・バター・マヨ系
きゅうりの塩昆布和え,https://www.youtube.com/watch?v=bJd6_QpChAI,bJd6_QpChAI,macaroni | マカロニ,easy,きゅうり、昆布,light,2,実在YouTube動画,"cucumber,kombu",葉物野菜
サバ缶サラダ,https://www.youtube.com/watch?v=Iv5tai1eXWM,Iv5tai1eXWM,リツの健康飯,easy,サバ、キャベツ、玉ねぎ、にんじん、レタス,light,1,実在YouTube動画,"mackerel,cabbage,onion,carrot,lettuce",魚介;葉物野菜;根菜
冷奴アレンジ,https://www.youtube.com/watch?v=zZs7zddrUPI,zZs7zddrUPI,まいにち3品レシピ,easy,豆腐、ネギ、ショウガ,light,1,実在YouTube動画,"tofu,green_onion,ginger",豆腐・大豆系;葉物野菜
